species,pt_lo,pt_hi,pt_center,counts,value,error
Kminus,0.5000,0.6000,0.5500,6.700000e+01,1.488889e-03,1.818967e-04
Kminus,0.6000,0.7000,0.6500,3.200000e+01,7.111111e-04,1.257079e-04
Kminus,0.7000,0.8000,0.7500,1.100000e+01,2.444444e-04,7.370277e-05
Kminus,0.8000,0.9000,0.8500,1.200000e+01,2.666667e-04,7.698004e-05
Kminus,0.9000,1.0000,0.9500,2.000000e+00,4.444444e-05,3.142697e-05
Kminus,1.0000,1.1000,1.0500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.1000,1.2000,1.1500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.2000,1.3000,1.2500,1.000000e+00,2.222222e-05,2.222222e-05
Kminus,1.3000,1.4000,1.3500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.4000,1.5000,1.4500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.5000,1.6000,1.5500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.6000,1.7000,1.6500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.7000,1.8000,1.7500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.8000,1.9000,1.8500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,1.9000,2.0000,1.9500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,2.0000,2.1000,2.0500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,2.1000,2.2000,2.1500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,2.2000,2.3000,2.2500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,2.3000,2.4000,2.3500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,2.4000,2.5000,2.4500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,0.0000,0.1000,0.0500,8.740000e+02,1.942222e-02,4.645454e-04
K0S,0.1000,0.2000,0.1500,2.032500e+03,4.516667e-02,7.084150e-04
K0S,0.2000,0.3000,0.2500,2.096500e+03,4.658889e-02,7.194820e-04
K0S,0.3000,0.4000,0.3500,1.644000e+03,3.653333e-02,6.371232e-04
K0S,0.4000,0.5000,0.4500,1.059000e+03,2.353333e-02,5.113526e-04
K0S,0.5000,0.6000,0.5500,5.995000e+02,1.332222e-02,3.847398e-04
K0S,0.6000,0.7000,0.6500,2.495000e+02,5.544444e-03,2.482034e-04
K0S,0.7000,0.8000,0.7500,1.370000e+02,3.044444e-03,1.839216e-04
K0S,0.8000,0.9000,0.8500,5.450000e+01,1.211111e-03,1.160034e-04
K0S,0.9000,1.0000,0.9500,2.350000e+01,5.222222e-04,7.617394e-05
K0S,1.0000,1.1000,1.0500,7.500000e+00,1.666667e-04,4.303315e-05
K0S,1.1000,1.2000,1.1500,7.000000e+00,1.555556e-04,4.157397e-05
K0S,1.2000,1.3000,1.2500,2.500000e+00,5.555556e-05,2.484520e-05
K0S,1.3000,1.4000,1.3500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.4000,1.5000,1.4500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.5000,1.6000,1.5500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.6000,1.7000,1.6500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.7000,1.8000,1.7500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.8000,1.9000,1.8500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,1.9000,2.0000,1.9500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,2.0000,2.1000,2.0500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,2.1000,2.2000,2.1500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,2.2000,2.3000,2.2500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,2.3000,2.4000,2.3500,0.000000e+00,0.000000e+00,0.000000e+00
K0S,2.4000,2.5000,2.4500,0.000000e+00,0.000000e+00,0.000000e+00
